Source,SKU,Brand,Name,Price,RAM,SSD,Processor,GPU,VRAM,Link,Brand_Encoded,Processor_Encoded
Bhinneka,3340392493,LENOVO,"LENOVO ThinkBook 14 G4 IAP (Core i7-1255U, 8GB, 512GB SSD, Win 11 Home)",16109999.0,8.0,512.0,CORE I7-1255U,,,https://www.bhinneka.com/lenovo-thinkbook-14-g4-iap-core-i7-1255u-8gb-512gb-ssd-win-11-home-21dh00j0id-mineral-grey-sku3340392493,11,88
Bhinneka,3340392784,LENOVO,"LENOVO V14 G3 IAP (Core i7-1255U, 8GB, 512GB SSD, Win 11 Home, 3 Year) ",11625000.0,8.0,512.0,CORE I7-1255U,,,https://www.bhinneka.com/lenovo-v14-g3-iap-core-i7-1255u-8gb-512gb-ssd-win-11-home-3-year-82ts00emid-iron-grey-sku3340392784,11,88
Bhinneka,3339879072,APPLE,"APPLE MacBook Pro 16 Inch (Apple M2, 32GB, 1TB SSD, macOS)",60599000.0,32.0,1024.0,M2,,,https://www.bhinneka.com/apple-macbook-pro-16-inch-apple-m2-32gb-1tb-ssd-macos-mnwe3id-a-silver-sku3339879072,2,169
Bhinneka,3339757046,ASUS,"ASUS ExpertBook P1412CEA-EK0007W (Core i3-1115G4, 4GB, 256GB SSD, Win 11 Home)",15900000.0,4.0,256.0,CORE I3-1115G,,,https://www.bhinneka.com/asus-expertbook-p1412cea-ek0007w-core-i3-1115g4-4gb-256gb-ssd-win-11-home-slate-grey-sku3339757046,3,47
Bhinneka,3340395306,ACER,"ACER Aspire 5 Spin 14 Convertible A5SP14-51MTN-58F6 (Core i5-1335U, 16GB, 512GB SSD, Win 11 Home)",14399000.0,16.0,512.0,CORE I5-1335U,,,https://www.bhinneka.com/acer-aspire-5-spin-14-convertible-a5sp14-51mtn-58f6-core-i5-1335u-16gb-512gb-ssd-win-11-home-steel-gray-sku3340395306,0,67
Bhinneka,3340400447,ASUS,"ASUS ExpertBook B5 B5302FBA-LG7110X (Core i7-1255U, 16GB, 1TB SSD, Win 11 Pro)",31199000.0,16.0,1024.0,CORE I7-1255U,,,https://www.bhinneka.com/asus-expertbook-b5-b5302fba-lg7110x-core-i7-1255u-16gb-1tb-ssd-win-11-pro-star-black-sku3340400447,3,88
Bhinneka,3340400641,ASUS,"ASUS ExpertBook B5 B5302CBA-EG7110X (Core i7-1255U, 16GB, 1TB SSD, Win 11 Pro)",28799000.01,16.0,1024.0,CORE I7-1255U,,,https://www.bhinneka.com/asus-expertbook-b5-b5302cba-eg7110x-core-i7-1255u-16gb-1tb-ssd-win-11-pro-star-black-sku3340400641,3,88
Bhinneka,3339735124,AXIOO,"AXIOO MyBook Pro L7 16N9 (Core i7-1255U, 16GB, 1TB SSD, Win 11 Pro)",25300000.0,16.0,1024.0,CORE I7-1255U,,,https://www.bhinneka.com/axioo-mybook-pro-l7-16n9-core-i7-1255u-16gb-1tb-ssd-win-11-pro-sku3339735124,5,88
Bhinneka,3340423242,DELL,"DELL Latitude 3430 (Core i7-1255U, 8GB, 512GB SSD, Win 11 Home)",17477000.01,8.0,512.0,CORE I7-1255U,,,https://www.bhinneka.com/dell-latitude-3430-core-i7-1255u-8gb-512gb-ssd-win-11-home-sku3340423242,7,88
Bhinneka,3339555577,LENOVO,"LENOVO ThinkPad L13 Yoga Gen 3 (Core i5-1235U, 16GB, 512GB SSD, Win 11 Pro)",22250000.01,16.0,512.0,CORE I5-1235U,,,https://www.bhinneka.com/lenovo-thinkpad-l13-yoga-gen-3-core-i5-1235u-16gb-512gb-ssd-win-11-pro-21b5004pid-thunder-black-sku3339555577,11,61
